system,file,time
katch,nkpl/benchmarks/nondet-first15/nondet10-swptdst.nkpl,0.005424461
katch,nkpl/benchmarks/nondet-first15/nondet11-swptdst.nkpl,0.005999219
katch,nkpl/benchmarks/nondet-first15/nondet12-swptdst.nkpl,0.006894507
katch,nkpl/benchmarks/nondet-first15/nondet13-swptdst.nkpl,0.00739732
katch,nkpl/benchmarks/nondet-first15/nondet14-swptdst.nkpl,0.009325675
katch,nkpl/benchmarks/nondet-first15/nondet15-swptdst.nkpl,0.010217956
katch,nkpl/benchmarks/nondet-first15/nondet2-swptdst.nkpl,0.001841571
katch,nkpl/benchmarks/nondet-first15/nondet3-swptdst.nkpl,0.002011245
katch,nkpl/benchmarks/nondet-first15/nondet4-swptdst.nkpl,0.001991104
katch,nkpl/benchmarks/nondet-first15/nondet5-swptdst.nkpl,0.002453348
katch,nkpl/benchmarks/nondet-first15/nondet6-swptdst.nkpl,0.002551178
katch,nkpl/benchmarks/nondet-first15/nondet7-swptdst.nkpl,0.002733193
katch,nkpl/benchmarks/nondet-first15/nondet8-swptdst.nkpl,0.003145413
katch,nkpl/benchmarks/nondet-first15/nondet9-swptdst.nkpl,0.003491327
frenetic,nkpl/benchmarks/nondet-first15/nondet1-swptdst.nkpl,0.03
frenetic,nkpl/benchmarks/nondet-first15/nondet10-swptdst.nkpl,5.84
frenetic,nkpl/benchmarks/nondet-first15/nondet11-swptdst.nkpl,9.71
frenetic,nkpl/benchmarks/nondet-first15/nondet12-swptdst.nkpl,15.77
frenetic,nkpl/benchmarks/nondet-first15/nondet13-swptdst.nkpl,24.80
frenetic,nkpl/benchmarks/nondet-first15/nondet14-swptdst.nkpl,37.81
frenetic,nkpl/benchmarks/nondet-first15/nondet15-swptdst.nkpl,54.60
frenetic,nkpl/benchmarks/nondet-first15/nondet2-swptdst.nkpl,0.03
frenetic,nkpl/benchmarks/nondet-first15/nondet3-swptdst.nkpl,0.04
frenetic,nkpl/benchmarks/nondet-first15/nondet4-swptdst.nkpl,0.08
frenetic,nkpl/benchmarks/nondet-first15/nondet5-swptdst.nkpl,0.17
frenetic,nkpl/benchmarks/nondet-first15/nondet6-swptdst.nkpl,0.37
frenetic,nkpl/benchmarks/nondet-first15/nondet7-swptdst.nkpl,0.83
frenetic,nkpl/benchmarks/nondet-first15/nondet8-swptdst.nkpl,1.77
frenetic,nkpl/benchmarks/nondet-first15/nondet9-swptdst.nkpl,3.28
katch,nkpl/benchmarks/inc-first15/inc1.nkpl,0.001284995
katch,nkpl/benchmarks/inc-first15/inc10.nkpl,0.011863798
katch,nkpl/benchmarks/inc-first15/inc11.nkpl,0.013148263
katch,nkpl/benchmarks/inc-first15/inc12.nkpl,0.015421859
katch,nkpl/benchmarks/inc-first15/inc13.nkpl,0.017864834
katch,nkpl/benchmarks/inc-first15/inc14.nkpl,0.020238593
katch,nkpl/benchmarks/inc-first15/inc2.nkpl,0.001855436
katch,nkpl/benchmarks/inc-first15/inc3.nkpl,0.002492568
katch,nkpl/benchmarks/inc-first15/inc4.nkpl,0.003066009
katch,nkpl/benchmarks/inc-first15/inc5.nkpl,0.00398683
katch,nkpl/benchmarks/inc-first15/inc6.nkpl,0.005070412
katch,nkpl/benchmarks/inc-first15/inc7.nkpl,0.006169062
katch,nkpl/benchmarks/inc-first15/inc8.nkpl,0.007659587
katch,nkpl/benchmarks/inc-first15/inc9.nkpl,0.00943522
frenetic,nkpl/benchmarks/inc-first15/inc1.nkpl,0.03
frenetic,nkpl/benchmarks/inc-first15/inc10.nkpl,584.89
katch,nkpl/benchmarks/inc-first15/inc1.nkpl,0.002166748
